Feature,Mean_SHAP_Value,Cluster,Classe,Class_Rank
Mercedes_level,0.06689491106697218,1,A,0
Bonete_level,0.05062202023840568,1,A,0
San_Gregorio_level,0.048356621123089895,1,A,0
Durazno_level,0.010863028249417334,2,B,1
Aguiar_precipitation,0.008590720503659013,2,B,1
Paso_de_los_toros_level,0.006562681361989043,2,B,1
Paso_de_Lugo_precipitation,0.006000316537111717,2,B,1
Manuel_Díaz_precipitation,0.005892128223163961,2,B,1
Sarandi_del_Yi_precipitation,0.005692499683438838,2,B,1
Polanco_precipitation,0.004726971186252717,2,B,1
Mazagano_level,0.003362668622415644,0,C,2
Laguna_II_precipitation,0.0032982812864499715,0,C,2
Cuñapirú_precipitation,0.0032799360709057225,0,C,2
Pereira_precipitation,0.0032795769209937576,0,C,2
Salsipuedes_precipitation,0.0029841611841194427,0,C,2
Bonete_precipitation,0.00272490231785978,0,C,2
Mazagano_precipitation,0.0027240640073785665,0,C,2
San_Gregorio_precipitation,0.0025441885623618135,0,C,2
Durazno_precipitation,0.001904858748603621,0,C,2
Mercedes_precipitation,0.0018027025828358599,0,C,2
Paso_de_los_toros_precipitation,0.0018017672941192991,0,C,2
Coelho_precipitation,0.0015041780322977056,0,C,2
Paso_de_las_Toscas_precipitation,0.0014719374326908848,0,C,2
Laguna_I_precipitation,0.0014323994983236358,0,C,2
Pereira_level,0.0011165703604876292,0,C,2
Paso_de_Lugo_level,0.0009542416285145082,0,C,2
Aguiar_level,0.0005053614275565772,0,C,2
Salsipuedes_level,0.00042622575736303396,0,C,2
Paso_de_las_Toscas_level,0.00023321335972545287,0,C,2
Sarandi_del_Yi_level,0.00021005112231702408,0,C,2
Laguna_II_level,8.505773270671977e-05,0,C,2
Manuel_Díaz_level,7.238001363255268e-05,0,C,2
Cuñapirú_level,1.6444678854045755e-05,0,C,2
Polanco_level,9.740570949777431e-06,0,C,2
Laguna_I_level,9.162012483529436e-06,0,C,2
Coelho_level,7.349886966774429e-06,0,C,2
