Instance,elite,mutants,pop,prob
boyd1,271,54,793,0.6
Fashion_MNIST_norm_10NN,45,152,930,0.75
har_10NN,71,107,647,0.82
k49_norm_10NN,18,140,927,0.66
kmnist_norm_10NN,97,80,887,0.8
lp1,71,43,706,0.96
MISKnowledgeMap,32,91,959,0.55
power,91,146,849,0.94
preferentialAttachment,46,69,476,0.57
smallworld,72,109,713,0.86
vsp_barth5_1Ksep_50in_5Kout,50,99,761,0.84
vsp_befref_fxm_2_4_air02,141,137,904,0.95
vsp_bump2_e18_aa01_model1_crew1,33,79,661,0.8
vsp_c-30_data_data,74,167,973,0.73
vsp_data_and_seymourl,166,139,743,0.96
vsp_finan512_scagr7-2c_rlfddd,262,34,662,0.72
vsp_model1_crew1_cr42_south31,21,93,808,0.63
vsp_msc10848_300sep_100in_1Kout,27,67,438,0.92
vsp_p0291_seymourl_iiasa,199,96,888,0.87
vsp_sctap1-2b_and_seymourl,26,112,831,0.8
vsp_south31_slptsk,133,166,923,0.8
vsp_vibrobox_scagr7-2c_rlfddd,39,35,635,0.84
worms20_10NN,313,104,982,0.57
