id,name,lat,lon
1339,Cuñapirú,-31.57255512807026,-55.584167
1963,Bonete,-32.833333,-56.423333
2206,Durazno,-33.351056,-56.50200
2145,Mercedes,-33.2504169999999,-58.0686109999999
1915,Paso_de_los_toros,-32.7986939999999,-56.5288329999999
1697,Laguna_II,-32.344028,-55.46425
1338,Manuel_Díaz,-31.5280279999999,-55.684333
1658,Aguiar,-32.2850559999999,-54.84100
1613,Paso_de_las_Toscas,-32.1568609999999,-55.0263059999999
2153,Paso_de_Lugo,-33.253222,-57.2683
1653,Laguna_I,-32.2503609999999,-55.422083
1617,Mazagano,-32.1073329999999,-54.674222
1743,Pereira,-32.443472,-55.22625
1526,Coelho,-32.039444,-55.360694
2257,Polanco,-33.390889,-56.156306
1819,Salsipuedes,-32.647778,-56.592111
1826,San_Gregorio,-32.6206109999999,-55.8291669999999
2215,Sarandi_del_Yi,-33.333111,-55.62100
2237,Villa_Soriano,-33.390889,-58.318111
